channel	family	build_id	device	relative_path	bytes	sha256	strict_json	tolerant_json	pollingdelay_total	pollingdelay_300000	pollingdelay_5000	pollingdelay_lowercase	pollingdelay_30000
stable	cp2a	CP2A.260705.006	blazer	profiles/blazer/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config.json	11916	925e79a306793dddaeb4de7a01b0a8c3ad243d8da372e967b3f5936aadeb4290	yes	yes	4	4	0	0	0
stable	cp2a	CP2A.260705.006	blazer	profiles/blazer/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_aa_throttling.json	1277	d047aedaebec064f801564cff02e317d24925f9e2d5d5c009df72fefdf77ed63	yes	yes	1	1	0	0	0
stable	cp2a	CP2A.260705.006	blazer	profiles/blazer/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_bg_tasks_throttling.json	3310	57f3463d1bdfa3b971e8b7ca2a7ab97c299d8581cdd679f6f121718c2f93dee2	no	yes	2	2	0	0	0
stable	cp2a	CP2A.260705.006	blazer	profiles/blazer/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_charge.json	13098	2b8458a4e31971b487ba87d2947f31a5d28316f62ef71ee8ba7c0f8ab21c7b0c	yes	yes	11	11	0	0	0
stable	cp2a	CP2A.260705.006	blazer	profiles/blazer/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_earlywarnings.json	1902	b3bdaca7abe12e278cb90a71b804dfc726057bf6c8db5a8810b303c2a818835b	yes	yes	1	1	0	0	0
stable	cp2a	CP2A.260705.006	blazer	profiles/blazer/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_lpm.json	7641	6c56126c13992eb4dd2e94353eacac736c6f73c42d35f39ee9f7d073336808f8	yes	yes	3	3	0	0	0
stable	cp2a	CP2A.260705.006	blazer	profiles/blazer/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_stats.json	9971	eec77bbfb5f4767f261aabb0837e328126842054290ca05eeb695a00095b5890	yes	yes	1	1	0	0	0
stable	cp2a	CP2A.260705.006	blazer	profiles/blazer/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_throttling.json	32528	8660dbc231f6b821c989e18dd73b942de636ae4e2edc9734cf560eb0d05a02ec	yes	yes	8	8	0	0	0
stable	cp2a	CP2A.260705.006	blazer	profiles/blazer/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_vt.json	2989	dcb48a251d2718243d70c407e3f564100d29a9ded407455062e89436599a701a	yes	yes	0	0	0	0	0
stable	cp2a	CP2A.260705.006	blazer	profiles/blazer/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_wingboard.json	390	34a63a2e41692b2268900e028391fa692f86ea8109bc65aa67891d1223d7afb0	yes	yes	0	0	0	0	0
stable	cp2a	CP2A.260705.006	frankel	profiles/frankel/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config.json	12142	ca3c05ece86d4979612da8363f5315dd58d0e5d4b4afb2b10565eecaa9fd8ef2	yes	yes	4	4	0	0	0
stable	cp2a	CP2A.260705.006	frankel	profiles/frankel/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_aa_throttling.json	1277	d047aedaebec064f801564cff02e317d24925f9e2d5d5c009df72fefdf77ed63	yes	yes	1	1	0	0	0
stable	cp2a	CP2A.260705.006	frankel	profiles/frankel/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_bg_tasks_throttling.json	3310	57f3463d1bdfa3b971e8b7ca2a7ab97c299d8581cdd679f6f121718c2f93dee2	no	yes	2	2	0	0	0
stable	cp2a	CP2A.260705.006	frankel	profiles/frankel/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_charge.json	13175	1df84afdb951647df5a7433a507bfc2e08ebc9e753ac14efb117783fc1d904b2	yes	yes	11	11	0	0	0
stable	cp2a	CP2A.260705.006	frankel	profiles/frankel/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_earlywarnings.json	1902	b3bdaca7abe12e278cb90a71b804dfc726057bf6c8db5a8810b303c2a818835b	yes	yes	1	1	0	0	0
stable	cp2a	CP2A.260705.006	frankel	profiles/frankel/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_lpm.json	7641	6c56126c13992eb4dd2e94353eacac736c6f73c42d35f39ee9f7d073336808f8	yes	yes	3	3	0	0	0
stable	cp2a	CP2A.260705.006	frankel	profiles/frankel/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_stats.json	9971	eec77bbfb5f4767f261aabb0837e328126842054290ca05eeb695a00095b5890	yes	yes	1	1	0	0	0
stable	cp2a	CP2A.260705.006	frankel	profiles/frankel/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_throttling.json	32528	8660dbc231f6b821c989e18dd73b942de636ae4e2edc9734cf560eb0d05a02ec	yes	yes	8	8	0	0	0
stable	cp2a	CP2A.260705.006	frankel	profiles/frankel/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_vt.json	2989	dcb48a251d2718243d70c407e3f564100d29a9ded407455062e89436599a701a	yes	yes	0	0	0	0	0
stable	cp2a	CP2A.260705.006	frankel	profiles/frankel/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_wingboard.json	390	34a63a2e41692b2268900e028391fa692f86ea8109bc65aa67891d1223d7afb0	yes	yes	0	0	0	0	0
stable	cp2a	CP2A.260705.006	mustang	profiles/mustang/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config.json	4113	9976306c6421447426f17464a12a3d058eee6e4c936e6a1db7dceb9280c0286d	yes	yes	3	3	0	0	0
stable	cp2a	CP2A.260705.006	mustang	profiles/mustang/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_aa_throttling.json	1277	d047aedaebec064f801564cff02e317d24925f9e2d5d5c009df72fefdf77ed63	yes	yes	1	1	0	0	0
stable	cp2a	CP2A.260705.006	mustang	profiles/mustang/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_bg_tasks_throttling.json	3310	57f3463d1bdfa3b971e8b7ca2a7ab97c299d8581cdd679f6f121718c2f93dee2	no	yes	2	2	0	0	0
stable	cp2a	CP2A.260705.006	mustang	profiles/mustang/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_charge.json	14757	2d5d10a5ab2eae1443ea6200569c316cbf0109c407a16672386c0e0095bf8532	yes	yes	11	11	0	0	0
stable	cp2a	CP2A.260705.006	mustang	profiles/mustang/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_earlywarnings.json	1902	b3bdaca7abe12e278cb90a71b804dfc726057bf6c8db5a8810b303c2a818835b	yes	yes	1	1	0	0	0
stable	cp2a	CP2A.260705.006	mustang	profiles/mustang/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_lpm.json	7641	6c56126c13992eb4dd2e94353eacac736c6f73c42d35f39ee9f7d073336808f8	yes	yes	3	3	0	0	0
stable	cp2a	CP2A.260705.006	mustang	profiles/mustang/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_stats.json	9971	eec77bbfb5f4767f261aabb0837e328126842054290ca05eeb695a00095b5890	yes	yes	1	1	0	0	0
stable	cp2a	CP2A.260705.006	mustang	profiles/mustang/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_throttling.json	32528	8660dbc231f6b821c989e18dd73b942de636ae4e2edc9734cf560eb0d05a02ec	yes	yes	8	8	0	0	0
stable	cp2a	CP2A.260705.006	mustang	profiles/mustang/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_vt.json	2989	dcb48a251d2718243d70c407e3f564100d29a9ded407455062e89436599a701a	yes	yes	0	0	0	0	0
stable	cp2a	CP2A.260705.006	mustang	profiles/mustang/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_wingboard.json	390	34a63a2e41692b2268900e028391fa692f86ea8109bc65aa67891d1223d7afb0	yes	yes	0	0	0	0	0
stable	cp2a	CP2A.260705.006	rango	profiles/rango/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config.json	40756	2ffde3bcf7007cd5b7b5c2330bc2ce27776d275398eecaf8745081b01983e5f1	yes	yes	13	13	0	0	0
stable	cp2a	CP2A.260705.006	rango	profiles/rango/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_aa_throttling.json	1277	d047aedaebec064f801564cff02e317d24925f9e2d5d5c009df72fefdf77ed63	yes	yes	1	1	0	0	0
stable	cp2a	CP2A.260705.006	rango	profiles/rango/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_bg_tasks_throttling.json	3310	57f3463d1bdfa3b971e8b7ca2a7ab97c299d8581cdd679f6f121718c2f93dee2	no	yes	2	2	0	0	0
stable	cp2a	CP2A.260705.006	rango	profiles/rango/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_charge.json	16542	2b40f6b414a288cf21bd2d833f6b78d73e9a5145d26527999ca36f59c264725c	yes	yes	11	11	0	0	0
stable	cp2a	CP2A.260705.006	rango	profiles/rango/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_lpm.json	7788	6e172f2f94af38a3f02ded4dbae7e43c1be641e566f60271776e50e1bddab373	yes	yes	3	3	0	0	0
stable	cp2a	CP2A.260705.006	rango	profiles/rango/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_stats.json	3567	e43ce34fa4bd58810910e5202d70b5486662d37bb59a4359cf3e56dc36d60ab6	yes	yes	1	1	0	0	0
stable	cp2a	CP2A.260705.006	rango	profiles/rango/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_throttling.json	32528	8660dbc231f6b821c989e18dd73b942de636ae4e2edc9734cf560eb0d05a02ec	yes	yes	8	8	0	0	0
stable	cp2a	CP2A.260705.006	rango	profiles/rango/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_vt.json	2989	dcb48a251d2718243d70c407e3f564100d29a9ded407455062e89436599a701a	yes	yes	0	0	0	0	0
stable	cp2a	CP2A.260705.006	rango	profiles/rango/17/stable/cp2a/cp2a260705006/base/system/vendor/etc/thermal_info_config_wingboard.json	390	34a63a2e41692b2268900e028391fa692f86ea8109bc65aa67891d1223d7afb0	yes	yes	0	0	0	0	0
canary	zp11	ZP11.260618.005	blazer	profiles/blazer/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config.json	11916	925e79a306793dddaeb4de7a01b0a8c3ad243d8da372e967b3f5936aadeb4290	yes	yes	4	4	0	0	0
canary	zp11	ZP11.260618.005	blazer	profiles/blazer/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_aa_throttling.json	936	1047073b8afcf5136832913ba71db183119d88b89c325bb5d78cd84a5761e1e5	yes	yes	1	1	0	0	0
canary	zp11	ZP11.260618.005	blazer	profiles/blazer/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_bg_tasks_throttling.json	2891	24cc820f99e055d125b1b988d17f8260d5c3a9ffded97ff4a26587d38f227b07	no	yes	1	1	0	0	0
canary	zp11	ZP11.260618.005	blazer	profiles/blazer/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_charge.json	13098	2b8458a4e31971b487ba87d2947f31a5d28316f62ef71ee8ba7c0f8ab21c7b0c	yes	yes	11	11	0	0	0
canary	zp11	ZP11.260618.005	blazer	profiles/blazer/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_earlywarnings.json	1902	b3bdaca7abe12e278cb90a71b804dfc726057bf6c8db5a8810b303c2a818835b	yes	yes	1	1	0	0	0
canary	zp11	ZP11.260618.005	blazer	profiles/blazer/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_lpm.json	7641	6c56126c13992eb4dd2e94353eacac736c6f73c42d35f39ee9f7d073336808f8	yes	yes	3	3	0	0	0
canary	zp11	ZP11.260618.005	blazer	profiles/blazer/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_stats.json	9971	eec77bbfb5f4767f261aabb0837e328126842054290ca05eeb695a00095b5890	yes	yes	1	1	0	0	0
canary	zp11	ZP11.260618.005	blazer	profiles/blazer/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_throttling.json	33575	3f2989b45a484a3f669b97019790fe533aa7e4b954e8d7a29146cbf6542423de	yes	yes	9	9	0	0	0
canary	zp11	ZP11.260618.005	blazer	profiles/blazer/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_vt.json	2989	dcb48a251d2718243d70c407e3f564100d29a9ded407455062e89436599a701a	yes	yes	0	0	0	0	0
canary	zp11	ZP11.260618.005	blazer	profiles/blazer/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_wingboard.json	390	34a63a2e41692b2268900e028391fa692f86ea8109bc65aa67891d1223d7afb0	yes	yes	0	0	0	0	0
canary	zp11	ZP11.260618.005	frankel	profiles/frankel/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config.json	12142	ca3c05ece86d4979612da8363f5315dd58d0e5d4b4afb2b10565eecaa9fd8ef2	yes	yes	4	4	0	0	0
canary	zp11	ZP11.260618.005	frankel	profiles/frankel/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_aa_throttling.json	936	1047073b8afcf5136832913ba71db183119d88b89c325bb5d78cd84a5761e1e5	yes	yes	1	1	0	0	0
canary	zp11	ZP11.260618.005	frankel	profiles/frankel/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_bg_tasks_throttling.json	2891	24cc820f99e055d125b1b988d17f8260d5c3a9ffded97ff4a26587d38f227b07	no	yes	1	1	0	0	0
canary	zp11	ZP11.260618.005	frankel	profiles/frankel/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_charge.json	13175	1df84afdb951647df5a7433a507bfc2e08ebc9e753ac14efb117783fc1d904b2	yes	yes	11	11	0	0	0
canary	zp11	ZP11.260618.005	frankel	profiles/frankel/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_earlywarnings.json	1902	b3bdaca7abe12e278cb90a71b804dfc726057bf6c8db5a8810b303c2a818835b	yes	yes	1	1	0	0	0
canary	zp11	ZP11.260618.005	frankel	profiles/frankel/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_lpm.json	7641	6c56126c13992eb4dd2e94353eacac736c6f73c42d35f39ee9f7d073336808f8	yes	yes	3	3	0	0	0
canary	zp11	ZP11.260618.005	frankel	profiles/frankel/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_stats.json	9971	eec77bbfb5f4767f261aabb0837e328126842054290ca05eeb695a00095b5890	yes	yes	1	1	0	0	0
canary	zp11	ZP11.260618.005	frankel	profiles/frankel/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_throttling.json	33575	3f2989b45a484a3f669b97019790fe533aa7e4b954e8d7a29146cbf6542423de	yes	yes	9	9	0	0	0
canary	zp11	ZP11.260618.005	frankel	profiles/frankel/17/canary/zp11/zp11260618005/base/system/vendor/etc/thermal_info_config_vt.json	2989	dcb48a251d2718243d70c407e3f564100d29a9ded407455062e89436599a701a	yes	yes	0	0	0	0	0
